#{"t_start": 1768206246.7971556, "env_id": "None"}
r,l,t
0.0,1,44.13155
0.0,1,44.131572
0.0,1,44.131588
0.0,1,44.131603
0.0,1,44.131618
0.0,1,44.131634
0.0,1,44.535825
0.0,1,44.535871
0.0,1,44.535889
0.0,1,44.535906
0.0,1,44.535922
0.0,1,44.535937
0.0,1,44.535952
0.0,1,44.535967
0.0,1,44.937342
0.0,1,44.937398
0.0,1,44.937422
0.0,1,44.937443
0.0,1,44.937469
0.0,1,44.937489
0.0,1,44.937508
0.0,1,44.937527
0.0,1,45.213516
0.0,1,45.213572
0.0,1,45.213591
0.0,1,45.213607
0.0,1,45.213623
0.0,1,45.213638
0.0,1,45.213654
0.0,1,45.213669
0.0,1,45.542971
0.0,1,45.543023
0.0,1,45.543041
0.0,1,45.543058
0.0,1,45.543073
0.0,1,45.543089
0.0,1,45.543104
0.0,1,45.543119
0.0,1,45.890782
0.0,1,45.890833
0.0,1,45.890856
0.0,1,45.890877
0.0,1,45.890898
0.0,1,45.890917
0.0,1,45.890937
0.0,1,45.890957
0.0,1,46.163207
0.0,1,46.163252
0.0,1,46.163272
0.0,1,46.163288
0.0,1,46.163305
0.0,1,46.16332
0.0,1,46.163335
0.0,1,46.16335
0.0,1,46.441221
0.0,1,46.441261
0.0,1,46.44128
0.0,1,46.441296
0.0,1,46.441313
0.0,1,46.441328
0.0,1,46.441343
0.0,1,46.441358
0.0,1,46.781458
0.0,1,46.781502
0.0,1,46.78152
0.0,1,46.781537
0.0,1,46.781553
0.0,1,46.781568
0.0,1,46.781582
0.0,1,46.781596
0.0,1,47.111917
0.0,1,47.111974
0.0,1,47.111993
0.0,1,47.11201
0.0,1,47.112025
0.0,1,47.112042
0.0,1,47.112057
0.0,1,47.112072
0.0,1,47.443424
0.0,1,47.443469
0.0,1,47.443488
0.0,1,47.443504
0.0,1,47.443519
0.0,1,47.443535
0.0,1,47.44355
0.0,1,47.443565
0.0,1,47.925782
0.0,1,47.925834
0.0,1,47.925858
0.0,1,47.92588
0.0,1,47.925901
0.0,1,47.92592
0.0,1,47.925938
0.0,1,47.925958
0.0,1,48.321882
0.0,1,48.321925
0.0,1,48.321948
0.0,1,48.321968
0.0,1,48.321989
0.0,1,48.322007
0.0,1,48.322026
0.0,1,48.322045
0.0,1,48.596593
0.0,1,48.596635
0.0,1,48.596653
0.0,1,48.59667
0.0,1,48.596686
0.0,1,48.596701
0.0,1,48.596716
0.0,1,48.59673
0.0,1,49.019608
0.0,1,49.019658
0.0,1,49.019681
0.0,1,49.019702
0.0,1,49.019723
0.0,1,49.019743
0.0,1,49.019762
0.0,1,49.01978
0.0,1,49.441302
0.0,1,49.441384
0.0,1,49.441408
0.0,1,49.441429
0.0,1,49.44145
0.0,1,49.441476
0.0,1,49.441527
0.0,1,49.441547
0.0,1,49.696152
0.0,1,49.696194
0.0,1,49.696216
0.0,1,49.696237
0.0,1,49.696258
0.0,1,49.696279
0.0,1,49.696299
0.0,1,49.696318
0.0,1,49.916696
0.0,1,49.91675
0.0,1,49.916769
0.0,1,49.916785
0.0,1,49.916802
0.0,1,49.916817
0.0,1,49.916833
0.0,1,49.916848
0.0,1,50.272855
0.0,1,50.272913
0.0,1,50.272932
0.0,1,50.272949
0.0,1,50.272966
0.0,1,50.272982
0.0,1,50.272998
0.0,1,50.273013
0.0,1,50.51026
0.0,1,50.510303
0.0,1,50.510322
0.0,1,50.510339
0.0,1,50.510355
0.0,1,50.510371
0.0,1,50.510386
0.0,1,50.510401
0.0,1,50.989799
0.0,1,50.98985
0.0,1,50.989873
0.0,1,50.989895
0.0,1,50.989915
0.0,1,50.989935
0.0,1,50.989955
0.0,1,50.989974
0.0,1,51.290999
0.0,1,51.291053
0.0,1,51.291077
0.0,1,51.291098
0.0,1,51.29112
0.0,1,51.291141
0.0,1,51.291167
0.0,1,51.291186
0.0,1,51.648845
0.0,1,51.648902
0.0,1,51.648922
0.0,1,51.648938
0.0,1,51.648954
0.0,1,51.64897
0.0,1,51.648985
0.0,1,51.649001
0.0,1,52.009088
0.0,1,52.00914
0.0,1,52.009159
0.0,1,52.009177
0.0,1,52.009194
0.0,1,52.00921
0.0,1,52.009227
0.0,1,52.009241
0.0,1,52.279366
0.0,1,52.279413
0.0,1,52.279432
0.0,1,52.279449
0.0,1,52.279465
0.0,1,52.27948
0.0,1,52.279496
0.0,1,52.279511
0.0,1,52.572347
0.0,1,52.572397
0.0,1,52.572419
0.0,1,52.572441
0.0,1,52.572462
0.0,1,52.572481
0.0,1,52.5725
0.0,1,52.572522
0.0,1,52.828565
0.0,1,52.828608
0.0,1,52.828627
0.0,1,52.828644
0.0,1,52.82866
0.0,1,52.828677
0.0,1,52.828692
0.0,1,52.828707
0.0,1,53.192919
0.0,1,53.19297
0.0,1,53.192993
0.0,1,53.193013
0.0,1,53.193034
0.0,1,53.193055
0.0,1,53.193074
0.0,1,53.193094
0.0,1,53.545183
0.0,1,53.545238
0.0,1,53.545257
0.0,1,53.545274
0.0,1,53.54529
0.0,1,53.545306
0.0,1,53.545321
0.0,1,53.545337
0.0,1,54.009963
0.0,1,54.010021
0.0,1,54.010044
0.0,1,54.010065
0.0,1,54.010086
0.0,1,54.010106
0.0,1,54.010126
0.0,1,54.010145
0.0,1,54.400699
0.0,1,54.400774
0.0,1,54.400799
0.0,1,54.40082
0.0,1,54.400841
0.0,1,54.400861
0.0,1,54.400886
0.0,1,54.400903
0.0,1,54.779176
0.0,1,54.779372
0.0,1,54.779456
0.0,1,54.779679
0.0,1,54.779734
0.0,1,54.779804
0.0,1,54.779911
0.0,1,54.779941
0.0,1,55.146362
0.0,1,55.146432
0.0,1,55.146451
0.0,1,55.146468
0.0,1,55.146484
0.0,1,55.1465
0.0,1,55.146517
0.0,1,55.146532
0.0,1,55.402503
0.0,1,55.402554
0.0,1,55.402572
0.0,1,55.402589
0.0,1,55.402605
0.0,1,55.402621
0.0,1,55.402636
0.0,1,55.402651
0.0,1,55.750891
0.0,1,55.750944
0.0,1,55.750967
0.0,1,55.750987
0.0,1,55.751006
0.0,1,55.751024
0.0,1,55.751048
0.0,1,55.751067
0.0,1,56.003325
0.0,1,56.00337
0.0,1,56.003394
0.0,1,56.003416
0.0,1,56.003435
0.0,1,56.003454
0.0,1,56.003473
0.0,1,56.003492
0.0,1,56.36729
0.0,1,56.367355
0.0,1,56.367399
